Hours_Studied,Attendance,Sleep_Hours,Previous_Scores
30.2,98.9,7.1,61.1
22.5,98.9,7.8,57.4
22.6,98.9,8.3,56.6
25.5,98.9,6.7,50.2
25.6,98.9,6.5,90.5
20.5,98.9,8.0,81.0
18.7,98.9,8.0,73.7
11.2,98.9,7.3,89.5
34.8,98.9,8.6,66.4
23.3,98.9,6.8,66.5
25.6,98.9,9.1,87.4
17.4,98.8,8.2,55.7
24.8,98.8,5.8,90.5
17.5,98.8,7.9,52.3
24.0,98.8,5.4,82.3
29.7,98.8,6.1,74.6
8.7,98.8,5.2,63.8
21.5,98.8,7.9,77.5
14.9,98.8,7.3,83.0
28.1,98.8,4.7,58.3
19.0,98.8,6.6,62.1
16.8,98.8,6.1,56.1
20.3,98.8,8.1,87.7
16.9,98.8,6.8,63.9
19.1,98.8,5.5,64.6
12.3,98.8,4.2,68.3
24.8,98.8,6.6,66.6
24.7,98.8,7.4,68.4
20.9,98.8,6.8,60.5
19.3,98.8,7.2,96.7
15.0,98.7,7.6,68.3
22.2,98.7,6.9,82.0
18.7,98.7,5.4,56.8
25.5,98.7,7.1,56.4
24.1,98.7,6.6,66.8
26.9,98.7,8.2,84.2
16.5,98.7,8.6,69.1
22.1,98.7,8.4,78.2
16.5,98.7,8.3,95.2
21.6,98.6,9.3,85.0
20.8,98.6,8.3,77.6
25.1,98.6,8.6,65.6
23.1,98.6,7.2,89.6
18.5,98.6,7.0,93.3
16.5,98.6,6.6,50.2
16.9,98.6,7.8,72.2
15.6,98.6,8.0,72.3
3.5,98.6,8.4,75.9
26.2,98.6,8.0,75.3
15.9,98.6,5.6,95.0
11.3,98.6,7.7,62.8
23.3,98.5,6.5,67.4
19.1,98.5,9.3,56.7
14.6,98.5,4.7,64.1
15.4,98.5,6.7,79.3
21.9,98.5,9.5,78.8
22.7,98.5,7.5,70.9
23.4,98.5,4.8,78.5
28.2,98.5,6.7,79.9
20.7,98.5,7.7,98.3
25.5,98.5,6.0,78.1
13.2,98.5,8.9,85.6
11.6,98.5,6.2,59.4
12.4,98.5,7.7,62.5
24.2,98.4,7.0,69.6
21.1,98.4,7.4,68.6
12.1,98.4,7.1,97.5
17.9,98.4,6.1,72.3
22.6,98.4,7.7,87.0
12.3,98.4,8.9,81.7
16.4,98.4,4.5,80.7
9.4,98.4,9.8,78.4
21.0,98.4,7.8,59.9
17.6,98.4,7.8,72.8
26.9,98.4,8.3,77.0
24.4,98.4,8.0,63.5
24.9,98.4,7.1,53.2
27.2,98.4,8.5,52.6
22.5,98.4,5.6,81.2
30.1,98.4,8.1,52.3
28.2,98.4,7.4,57.9
32.8,98.4,8.3,65.8
22.1,98.3,6.4,59.2
24.4,98.3,4.3,67.1
15.6,98.3,7.7,73.8
20.3,98.3,6.2,50.2
14.4,98.3,6.6,60.3
9.2,98.3,6.6,91.1
24.6,98.3,7.0,99.6
23.8,98.3,7.5,71.4
20.9,98.3,8.2,70.2
27.9,98.3,6.9,83.2
14.2,98.3,6.2,86.4
24.1,98.3,5.8,78.3
20.4,98.3,5.5,75.5
14.4,98.3,9.9,97.8
20.0,98.3,10.0,68.1
6.2,98.3,6.6,88.0
30.4,98.3,5.9,52.1
20.3,98.3,7.3,74.8
10.3,98.3,7.7,84.7
22.7,98.3,9.2,58.0
23.8,98.3,10.0,90.9
23.6,98.2,8.7,56.6
14.6,98.2,7.3,53.3
20.7,98.2,7.4,56.9
18.0,98.2,7.0,87.4
17.7,98.2,5.4,54.4
18.6,98.2,8.7,62.3
20.4,98.2,7.7,77.0
26.9,98.2,9.2,64.9
22.6,98.2,7.5,74.8
26.4,98.2,9.3,60.2
18.2,98.2,4.3,85.7
18.4,98.2,7.5,68.9
17.5,98.2,7.9,94.6
17.5,98.2,7.2,96.0
19.4,98.2,7.2,74.8
16.8,98.2,7.3,99.1
8.2,98.2,7.4,59.5
20.5,98.2,9.1,51.3
21.7,98.1,8.4,91.9
20.1,98.1,10.0,94.2
26.7,98.1,8.0,89.1
22.8,98.1,6.4,92.8
17.6,98.1,9.7,54.6
19.8,98.1,7.2,98.2
26.4,98.1,5.1,57.5
18.7,98.1,7.7,80.0
21.5,98.1,5.5,52.7
31.0,98.1,6.0,71.6
14.1,98.1,7.6,86.6
7.5,98.1,5.1,86.6
22.8,98.1,6.7,73.1
20.8,98.1,8.7,74.6
25.6,98.1,9.5,73.0
18.2,98.1,7.2,59.8
22.4,98.1,4.9,66.4
27.1,98.1,7.2,63.5
19.7,98.1,7.7,84.7
27.0,98.0,8.5,94.5
10.8,98.0,6.4,96.8
16.3,98.0,6.8,84.3
14.3,98.0,8.7,73.8
21.1,98.0,9.6,97.1
26.6,98.0,10.0,67.6
18.2,98.0,7.2,82.0
15.2,98.0,9.4,61.2
30.5,98.0,6.6,85.0
24.7,98.0,9.9,58.5
20.2,98.0,5.7,94.4
17.6,98.0,6.5,88.2
28.9,98.0,7.1,81.6
15.5,98.0,5.4,78.0
26.9,98.0,9.0,88.2
10.7,98.0,6.6,52.3
24.5,97.9,5.0,85.9
10.8,97.9,7.4,72.9
2.5,97.9,7.3,83.9
30.2,97.9,5.5,91.6
15.9,97.9,5.8,64.0
8.0,97.9,8.6,89.6
22.8,97.9,6.6,64.3
21.6,97.9,6.8,88.4
34.2,97.9,5.8,62.1
13.3,97.9,5.4,66.7
9.5,97.9,5.3,74.7
26.1,97.9,7.1,95.9
20.1,97.9,7.0,96.0
15.9,97.9,6.0,91.5
29.2,97.9,6.0,58.8
19.7,97.9,6.5,73.8
19.1,97.9,8.9,57.6
26.4,97.9,6.5,88.4
21.2,97.9,7.9,77.7
22.5,97.8,7.8,81.6
25.4,97.8,6.4,51.9
12.0,97.8,8.6,67.0
19.8,97.8,6.9,84.7
10.9,97.8,6.8,60.8
18.9,97.8,9.2,69.4
18.8,97.8,8.9,73.3
21.2,97.8,5.9,67.4
19.4,97.8,5.6,60.1
20.4,97.8,8.1,75.2
11.5,97.8,5.5,60.8
21.0,97.8,7.4,90.0
15.8,97.8,4.4,54.0
25.8,97.8,5.9,81.0
21.1,97.8,7.8,62.0
17.6,97.8,6.1,67.9
25.4,97.8,8.2,63.8
26.7,97.8,5.9,64.3
17.9,97.8,7.9,67.3
13.6,97.7,7.6,86.4
25.2,97.7,8.6,56.3
23.5,97.7,5.6,98.7
15.5,97.7,7.0,79.4
12.7,97.7,9.2,89.2
14.6,97.7,7.1,51.0
18.3,97.7,7.8,52.6
30.3,97.7,5.2,63.5
13.3,97.7,4.6,60.7
18.7,97.7,7.5,97.3
15.0,97.7,7.4,80.6
20.3,97.7,7.7,81.0
29.9,97.7,6.0,82.0
13.2,97.7,8.8,87.9
22.3,97.7,8.4,89.6
29.0,97.7,10.0,92.6
17.2,97.7,7.1,56.7
24.4,97.7,10.0,92.7
17.5,97.7,7.3,56.3
23.2,97.7,6.4,85.0
15.2,97.6,8.2,54.0
16.8,97.6,5.4,97.5
9.7,97.6,7.6,79.9
38.1,97.6,5.9,75.2
20.9,97.6,6.4,72.5
12.8,97.6,9.1,60.7
30.2,97.6,5.8,63.8
19.0,97.6,5.6,87.2
20.0,97.6,6.9,60.2
29.9,97.6,4.7,94.9
20.3,97.6,7.2,83.3
17.6,97.6,6.4,78.9
17.2,97.6,6.5,72.3
16.3,97.6,4.9,72.1
23.2,97.6,4.8,76.8
20.7,97.5,7.4,52.7
21.3,97.5,8.6,51.5
2.4,97.5,7.0,61.2
14.1,97.5,6.2,76.7
14.1,97.5,7.8,76.0
19.6,97.5,6.7,80.1
15.7,97.5,6.5,75.8
13.1,97.5,7.0,56.2
23.5,97.5,5.2,90.9
12.6,97.5,8.1,82.7
21.3,97.5,5.2,63.2
22.9,97.5,9.9,61.0
12.4,97.5,8.1,59.6
17.4,97.5,6.0,57.2
17.3,97.5,6.3,95.7
20.6,97.5,6.6,71.1
19.9,97.5,7.1,85.2
27.0,97.5,5.3,58.0
8.0,97.5,6.6,76.3
23.1,97.5,8.0,84.2
10.3,97.4,6.0,60.0
8.8,97.4,7.6,88.2
14.8,97.4,7.9,86.1
23.7,97.4,6.3,58.1
28.3,97.4,6.1,80.3
27.7,97.4,10.0,75.5
18.1,97.4,7.1,68.0
12.8,97.4,6.0,75.8
19.3,97.4,7.3,55.0
32.8,97.4,7.6,96.7
21.6,97.4,6.8,76.7
19.8,97.4,5.7,75.6
21.1,97.4,6.8,94.2
21.6,97.3,7.7,94.6
17.2,97.3,4.4,97.8
24.7,97.3,6.1,91.7
9.0,97.3,8.3,58.2
18.4,97.3,10.0,60.6
28.6,97.3,7.0,66.0
17.7,97.3,7.4,51.5
20.2,97.3,7.6,92.9
23.7,97.3,7.7,66.4
20.8,97.3,6.6,74.1
19.7,97.3,9.8,84.6
17.4,97.3,6.9,79.1
28.8,97.3,8.0,80.3
26.7,97.3,7.9,87.9
19.9,97.3,8.2,95.8
19.3,97.3,6.9,69.6
22.1,97.3,8.0,80.6
13.1,97.3,8.7,98.9
18.5,97.3,9.1,77.4
23.8,97.3,8.5,67.7
22.3,97.3,7.8,69.7
20.3,97.3,7.7,92.2
19.7,97.3,5.2,98.2
9.8,97.3,6.3,64.8
20.5,97.2,7.6,87.0
9.4,97.2,8.1,96.7
20.1,97.2,8.0,57.1
21.7,97.2,7.8,63.5
19.0,97.2,8.0,54.6
29.0,97.2,7.1,88.1
20.6,97.2,6.7,52.9
23.5,97.2,4.5,58.7
17.9,97.2,9.4,62.0
11.0,97.2,7.6,64.2
22.0,97.2,9.1,57.1
12.2,97.2,7.7,51.3
12.1,97.2,4.9,78.8
18.5,97.2,9.8,52.4
21.3,97.2,7.8,70.8
23.6,97.2,7.1,98.5
29.4,97.1,8.5,60.7
32.6,97.1,7.4,61.4
20.4,97.1,5.9,50.9
18.2,97.1,8.1,76.6
24.9,97.1,7.2,92.0
26.0,97.1,6.7,99.7
18.6,97.1,7.6,76.6
16.9,97.1,6.0,75.8
26.6,97.1,8.5,66.1
21.9,97.1,6.9,88.1
14.3,97.1,6.2,69.4
22.7,97.1,4.5,84.9
14.3,97.1,7.5,54.3
13.8,97.1,5.3,91.0
24.8,97.1,7.8,91.0
23.5,97.1,6.0,60.5
20.4,97.1,7.8,60.7
19.2,97.1,6.5,97.6
13.9,97.1,6.6,70.6
16.3,97.1,5.1,61.5
15.3,97.0,6.4,57.4
30.0,97.0,7.0,80.5
20.6,97.0,7.6,54.6
16.0,97.0,7.9,59.6
19.4,97.0,8.6,52.6
16.6,97.0,8.7,80.3
19.5,97.0,6.5,72.9
16.6,97.0,8.2,64.2
12.0,97.0,7.4,80.1
22.3,97.0,6.9,95.2
25.5,97.0,6.9,97.1
11.9,97.0,7.1,69.7
19.5,97.0,7.6,62.1
9.5,97.0,5.9,89.9
14.6,97.0,5.7,70.8
13.0,97.0,8.2,83.2
17.9,97.0,7.6,90.5
23.6,97.0,8.7,92.0
19.0,97.0,7.9,61.1
21.6,97.0,6.8,60.9
11.2,97.0,7.8,79.5
11.9,97.0,5.3,84.2
11.3,96.9,5.7,88.3
14.9,96.9,7.2,92.2
24.0,96.9,8.4,94.9
19.8,96.9,8.3,80.7
20.3,96.9,5.9,95.4
23.3,96.9,5.8,84.0
21.7,96.9,10.0,96.8
17.1,96.9,6.9,85.5
17.1,96.9,8.5,59.6
23.5,96.9,9.6,86.2
28.0,96.9,4.2,60.8
18.4,96.8,5.3,64.0
12.8,96.8,8.4,67.7
29.7,96.8,8.5,84.7
20.6,96.8,8.3,83.1
30.0,96.8,6.0,62.4
21.2,96.8,7.3,89.3
30.3,96.8,6.0,61.8
15.2,96.8,4.9,84.2
17.4,96.8,7.0,62.1
21.4,96.8,9.0,56.4
32.3,96.8,7.0,96.6
7.5,96.8,7.7,85.0
15.0,96.7,8.1,78.9
25.2,96.7,6.0,74.0
22.8,96.7,6.2,60.5
10.6,96.7,7.8,81.4
34.2,96.7,10.0,87.4
19.0,96.7,6.0,51.0
11.5,96.7,8.5,62.3
5.2,96.7,8.4,84.3
25.9,96.7,9.1,61.4
11.8,96.7,8.2,88.7
19.7,96.7,8.7,69.7
15.2,96.7,8.5,58.7
20.0,96.7,6.7,72.2
16.0,96.6,8.0,67.7
26.7,96.6,6.0,60.1
27.1,96.6,8.3,84.2
14.7,96.6,7.5,65.3
19.8,96.6,9.3,85.6
22.1,96.6,5.8,58.1
12.9,96.6,6.5,93.0
17.0,96.6,5.2,81.0
25.9,96.6,9.4,60.0
18.4,96.6,8.4,94.3
27.4,96.6,9.4,82.8
16.9,96.6,5.6,78.2
25.4,96.6,8.6,85.8
18.9,96.6,4.8,77.4
25.7,96.6,5.8,63.5
17.1,96.6,8.2,79.0
17.1,96.6,5.7,93.3
18.6,96.6,7.2,75.6
22.5,96.5,6.3,95.2
23.3,96.5,7.3,60.5
9.8,96.5,9.1,72.9
18.4,96.5,7.9,81.2
9.8,96.5,7.0,98.8
17.8,96.5,9.1,63.7
18.7,96.5,7.2,80.0
22.0,96.5,6.8,86.6
28.8,96.5,8.1,81.4
14.8,96.5,5.3,65.5
31.3,96.5,8.4,51.8
21.7,96.5,8.8,95.9
20.2,96.5,7.2,85.5
24.7,96.4,7.7,71.8
11.5,96.4,7.2,54.8
25.9,96.4,6.1,52.5
18.9,96.4,5.4,93.5
16.6,96.4,7.9,98.2
17.4,96.4,8.1,61.9
22.9,96.4,6.4,52.7
17.2,96.4,7.5,62.8
17.9,96.4,6.5,59.3
10.1,96.4,7.9,59.5
9.3,96.4,5.0,65.5
27.6,96.4,6.1,61.1
37.7,96.4,8.6,92.4
30.9,96.4,9.1,93.7
20.0,96.4,6.3,88.5
21.9,96.4,6.3,51.4
17.4,96.4,7.3,66.1
15.2,96.4,7.0,58.7
12.3,96.4,7.3,93.3
21.7,96.3,8.2,52.7
19.3,96.3,6.5,53.8
24.0,96.3,8.9,66.6
23.3,96.3,7.7,66.7
21.5,96.3,8.7,88.6
15.8,96.3,8.2,72.7
26.8,96.3,8.3,51.8
16.3,96.3,6.0,50.6
15.6,96.3,8.5,83.9
19.5,96.3,5.7,65.1
24.0,96.3,6.9,74.8
21.4,96.3,7.2,60.3
19.2,96.3,5.7,66.0
21.7,96.3,6.1,54.9
27.0,96.2,7.5,73.5
12.9,96.2,8.2,90.7
21.9,96.2,7.8,88.3
7.2,96.2,6.8,74.7
25.8,96.2,8.1,76.6
12.2,96.2,7.1,70.4
16.9,96.2,6.4,78.2
17.2,96.2,7.5,74.8
7.8,96.2,8.9,63.5
26.1,96.2,7.9,81.1
15.1,96.2,6.4,84.2
12.2,96.2,7.3,56.0
25.9,96.1,8.8,80.9
29.7,96.1,6.6,86.6
20.8,96.1,6.9,75.1
27.0,96.1,8.2,53.8
18.9,96.1,10.0,53.1
21.2,96.1,8.6,79.1
24.6,96.1,6.0,67.9
12.9,96.1,10.0,87.6
14.2,96.1,7.9,93.6
25.0,96.1,7.3,71.5
24.3,96.1,7.7,59.7
31.5,96.1,9.6,51.4
31.1,96.1,6.7,70.6
14.7,96.1,6.9,61.8
19.9,96.1,7.0,98.5
15.9,96.0,7.1,63.4
29.2,96.0,7.1,70.8
23.1,96.0,8.0,89.4
20.3,96.0,7.9,71.0
19.9,96.0,9.0,72.5
24.9,96.0,5.6,80.9
13.6,96.0,5.2,100.0
29.7,96.0,4.0,57.5
19.2,96.0,8.4,89.4
18.6,96.0,8.0,91.0
15.6,95.9,8.2,67.8
21.2,95.9,4.8,98.8
13.9,95.9,7.3,56.3
27.8,95.9,9.1,79.5
15.6,95.9,6.6,71.1
25.2,95.9,8.9,63.1
24.2,95.9,7.0,59.7
25.4,95.9,7.1,62.7
26.3,95.9,6.1,54.2
18.2,95.9,6.4,82.1
17.7,95.9,5.4,50.0
20.9,95.8,6.8,65.5
15.8,95.8,7.4,56.5
7.8,95.8,6.2,55.7
34.2,95.8,9.3,61.5
22.8,95.8,9.2,83.3
23.7,95.8,8.2,76.0
15.0,95.8,6.8,69.0
17.9,95.8,7.0,90.5
24.2,95.8,7.8,53.2
8.8,95.8,5.9,97.0
10.9,95.8,5.9,82.2
20.1,95.8,5.3,51.5
17.6,95.8,5.7,82.0
29.6,95.8,7.6,72.2
17.3,95.8,4.0,83.6
27.5,95.8,6.5,68.4
31.9,95.8,4.6,74.9
17.2,95.8,9.9,64.0
20.6,95.8,7.6,56.3
30.5,95.8,5.7,67.0
10.3,95.8,9.4,68.7
23.2,95.8,7.2,61.4
22.9,95.8,7.4,93.6
21.6,95.7,4.9,98.4
16.0,95.7,5.5,65.9
22.6,95.7,6.1,72.1
18.5,95.7,6.1,98.7
13.1,95.7,5.6,61.5
36.2,95.7,8.9,54.5
19.3,95.7,9.5,76.6
19.4,95.7,6.8,53.6
23.0,95.7,9.2,65.5
19.1,95.7,8.2,81.4
25.8,95.7,8.0,95.1
13.1,95.7,6.3,50.5
3.3,95.7,9.3,57.1
32.9,95.7,5.6,91.5
18.6,95.6,8.6,76.2
29.8,95.6,5.9,97.5
21.7,95.6,5.7,93.3
22.8,95.6,7.7,52.0
15.1,95.6,6.5,67.6
23.1,95.6,6.0,52.7
18.5,95.6,7.6,54.3
37.2,95.6,8.0,53.3
29.4,95.6,4.8,72.2
27.6,95.6,8.0,53.9
23.9,95.6,6.4,83.5
13.2,95.6,6.6,63.5
21.9,95.6,8.5,75.6
9.7,95.6,6.7,67.5
22.2,95.6,7.4,59.1
17.3,95.6,8.0,63.5
17.3,95.6,9.1,89.4
31.9,95.6,7.5,60.4
14.5,95.6,6.0,75.5
24.5,95.6,6.1,92.6
19.9,95.6,5.6,64.6
19.1,95.6,8.0,84.2
18.0,95.6,7.7,69.9
14.5,95.6,9.4,52.6
18.6,95.6,7.5,73.5
20.4,95.6,8.4,56.9
28.1,95.5,6.0,77.5
16.8,95.5,8.5,66.2
24.8,95.5,8.6,77.8
5.6,95.5,6.7,55.3
11.4,95.5,9.3,74.9
10.8,95.5,4.0,99.6
2.9,95.5,6.8,75.3
19.7,95.5,6.1,92.2
12.8,95.5,7.1,59.1
23.2,95.5,7.5,84.7
13.8,95.5,7.5,94.8
20.6,95.5,10.0,54.7
24.3,95.5,7.1,58.4
20.8,95.5,6.9,78.2
3.5,95.5,6.0,80.6
18.4,95.5,8.1,58.1
30.3,95.5,5.9,60.0
29.2,95.5,8.3,80.1
16.4,95.5,6.5,57.0
28.7,95.5,7.3,60.0
12.6,95.5,6.3,77.6
17.7,95.5,9.1,71.9
13.4,95.5,9.3,66.7
24.4,95.5,6.1,84.6
18.6,95.4,6.9,73.6
21.8,95.4,7.0,61.0
25.4,95.4,9.6,84.8
26.9,95.4,7.3,92.3
12.5,95.4,6.2,52.8
15.3,95.4,6.0,97.2
21.2,95.4,7.3,66.5
19.4,95.4,8.7,68.9
31.8,95.4,8.8,76.1
8.6,95.4,9.2,91.8
18.8,95.4,5.7,88.3
18.5,95.4,8.3,96.0
17.3,95.4,9.7,68.2
17.5,95.4,8.4,75.6
29.3,95.4,6.1,65.9
26.4,95.3,8.2,52.3
19.3,95.3,8.5,86.2
22.0,95.3,7.0,51.5
32.5,95.3,6.7,86.5
22.2,95.3,5.2,64.3
16.9,95.3,5.6,77.2
22.5,95.3,9.6,87.7
24.2,95.3,5.3,92.5
16.4,95.3,8.0,82.2
20.7,95.3,6.6,71.3
32.8,95.3,6.7,65.4
12.8,95.2,9.2,96.8
21.3,95.2,7.9,73.2
24.1,95.2,8.6,65.9
28.2,95.2,6.5,92.0
19.2,95.2,6.3,80.3
10.4,95.2,6.5,79.1
11.0,95.2,8.8,89.5
20.6,95.2,8.4,71.1
23.5,95.2,6.8,62.1
24.3,95.2,7.9,89.3
25.6,95.2,6.4,90.3
28.8,95.2,6.6,86.2
21.9,95.2,7.8,88.0
21.4,95.2,6.4,77.0
18.5,95.2,6.6,88.7
25.1,95.2,8.1,74.8
12.0,95.2,7.0,96.2
15.5,95.1,7.3,81.7
25.6,95.1,6.6,96.7
31.7,95.1,8.5,73.8
29.5,95.1,7.2,89.7
20.5,95.1,7.2,70.6
25.0,95.1,9.1,69.6
21.0,95.1,7.0,93.9
22.5,95.1,10.0,68.1
23.5,95.1,8.9,50.1
18.3,95.1,6.8,50.1
20.2,95.1,7.2,52.3
24.0,95.1,6.2,73.8
19.2,95.1,9.1,88.1
21.7,95.1,7.1,92.4
18.8,95.1,8.1,66.3
20.0,95.1,9.4,57.7
15.4,95.1,7.0,55.3
27.6,95.1,5.8,60.0
25.2,95.1,6.0,65.5
15.6,95.1,5.5,74.3
22.3,95.1,8.0,55.8
26.5,95.1,7.2,58.4
21.0,95.1,8.6,55.8
33.4,95.1,6.8,62.5
15.4,95.0,7.2,73.9
16.9,95.0,7.8,55.3
22.0,95.0,4.0,65.9
29.7,95.0,8.9,73.3
22.3,95.0,7.2,90.6
14.5,95.0,6.3,74.1
21.6,95.0,5.1,71.3
11.1,95.0,5.4,90.6
25.5,95.0,6.4,93.2
15.5,95.0,7.3,92.1
23.0,95.0,5.2,67.5
22.1,95.0,5.6,99.9
15.1,95.0,7.4,95.5
20.7,95.0,6.9,72.0
19.3,95.0,7.1,73.4
12.3,95.0,5.5,89.4
25.2,95.0,4.1,98.8
25.1,95.0,6.5,78.4
15.7,95.0,7.6,96.8
15.4,95.0,6.5,68.9
23.3,94.9,8.8,62.0
20.2,94.9,5.4,54.8
5.3,94.9,6.5,65.7
23.6,94.9,6.1,56.2
24.5,94.9,5.9,94.2
15.6,94.9,7.2,70.2
20.8,94.9,6.1,52.4
15.2,94.9,7.2,85.4
16.5,94.9,7.0,64.6
14.8,94.9,5.9,69.5
18.6,94.9,5.3,73.1
17.2,94.9,4.9,61.1
18.7,94.9,6.7,89.4
28.6,94.9,4.6,85.5
27.5,94.9,7.4,82.9
29.6,94.9,6.1,89.8
14.0,94.9,5.8,61.4
21.1,94.9,5.4,87.6
24.1,94.9,8.4,63.3
9.8,94.9,6.2,61.1
27.7,94.9,8.4,88.3
15.8,94.9,6.9,82.8
18.8,94.8,9.6,63.1
17.0,94.8,5.2,92.1
19.0,94.8,5.5,88.7
